,ilkid,first_name,last_name,position_x,firstseason,lastseason,h_feet,h_inches,weight_x,college,birthdate_x,birth_year,person_id,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate_y,school,country,last_affiliation,height,weight_y,season_exp,jersey,position_y,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
21,ALFORST01,steve,alford,G,1987,1990,6.0,2.0,183.0,Indiana,1964-11-23 00:00:00,1964,76024,Steve Alford,"Alford, Steve",S. Alford,steve-alford,1964-11-23 00:00:00,Indiana,USA,Indiana/USA,6-2,183.0,4.0,4,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_steve_alford,1987.0,1990.0,N,Y,Y,1987,2,26,N
22,ALLENBO01,bob,allen,F,1968,1968,6.0,9.0,205.0,Marshall,1946-07-17 00:00:00,1946,76028,Bob Allen,"Allen, Bob",B. Allen,bob-allen,1946-07-17 00:00:00,Marshall,USA,Marshall/USA,6-9,205.0,1.0,50,Forward,Inactive,N,1610612744,Warriors,SFW,warriors,San Francisco,HISTADD_bob_allen,1968.0,1968.0,N,Y,Y,1968,6,71,N
23,ALLENLU01,lucius,allen,G,1969,1978,6.0,2.0,175.0,UCLA,1947-09-26 00:00:00,1947,76027,Lucius Allen,"Allen, Lucius",L. Allen,lucius-allen,1947-09-26 00:00:00,UCLA,USA,UCLA/USA,6-2,175.0,10.0,42,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,HISTADD_lucius_allen,1969.0,1978.0,N,Y,Y,1969,1,3,N
24,ALLENMA01,malik,allen,F,2001,2004,6.0,10.0,225.0,Villanova,1978-06-27 00:00:00,1978,2124,Malik Allen,"Allen, Malik",M. Allen,malik-allen,1978-06-27 00:00:00,Villanova,USA,Villanova/USA,6-10,255.0,11.0,35,Forward,Inactive,N,1610612748,Heat,MIA,heat,Miami,malik_allen,2001.0,2010.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
25,ALLENTO01,tony,allen,G,2004,2004,6.0,4.0,214.0,Oklahoma St.,1982-01-11 00:00:00,1982,2754,Tony Allen,"Allen, Tony",T. Allen,tony-allen,1982-01-11 00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-4,213.0,14.0,,Guard-Forward,Inactive,N,0,,,,,tony_allen,2004.0,2017.0,N,Y,Y,2004,1,25,N
26,ALLISOD01,odis,allison,F,1971,1971,6.0,6.0,195.0,UNLV,1949-10-02 00:00:00,1949,76029,Odis Allison,"Allison, Odis",O. Allison,odis-allison,1949-10-02 00:00:00,UNLV,USA,UNLV/USA,6-6,195.0,1.0,22,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_odis_allison,1971.0,1971.0,N,Y,Y,1971,5,76,N
27,ALLUMDA01,darrell,allums,F,1980,1980,6.0,8.5,220.0,UCLA,1958-09-12 00:00:00,1958,76030,Darrell Allums,"Allums, Darrell",D. Allums,darrell-allums,1958-09-12 00:00:00,UCLA,USA,UCLA/USA,6-8,220.0,1.0,32,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_darrell_allums,1980.0,1980.0,N,Y,Y,1980,5,103,N
28,ALSTODE01,derrick,alston,C,1994,1996,6.0,11.0,225.0,Duquesne,1972-08-20 00:00:00,1972,308,Derrick Alston,"Alston, Derrick",D. Alston,derrick-alston,1972-08-20 00:00:00,Duquesne,USA,Duquesne/USA,6-11,225.0,3.0,,Center,Inactive,N,0,,,,,derrick_alston,1994.0,1996.0,N,Y,Y,1994,2,33,N
29,ALSTORA01,rafer,alston,G,1999,2004,6.0,2.0,171.0,Fresno State,1976-07-24 00:00:00,1976,1747,Rafer Alston,"Alston, Rafer",R. Alston,rafer-alston,1976-07-24 00:00:00,Fresno State,USA,Fresno State/USA,6-2,175.0,11.0,11,Guard,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,rafer_alston,1999.0,2009.0,Y,Y,Y,1998,2,39,N
30,ALUMAPE01,peter,aluma,C,1998,1998,6.0,10.0,260.0,Liberty,1973-04-23 00:00:00,1973,1824,Peter Aluma,"Aluma, Peter",P. Aluma,peter-aluma,1973-04-26 00:00:00,Liberty,USA,Liberty/USA,6-10,260.0,1.0,,Center,Inactive,N,0,,,,,peter_aluma,1998.0,1998.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
31,AMAECJO01,john,amaechi,C,1995,2002,6.0,10.0,270.0,Penn State,1970-11-26 00:00:00,1970,680,John Amaechi,"Amaechi, John",J. Amaechi,john-amaechi,1970-11-26 00:00:00,Penn State,United Kingdom,Penn State/United Kingdom,6-10,270.0,6.0,13,Forward-Center,Inactive,N,1610612753,Magic,ORL,magic,Orlando,john_amaechi,1995.0,2002.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
32,ANDERCH01,chris,andersen,F,2001,2004,6.0,10.0,230.0,Binn Coll TX JC,1978-07-07 00:00:00,1978,2365,Chris Andersen,"Andersen, Chris",C. Andersen,chris-andersen,1978-07-07 00:00:00,Blinn J.C.,USA,Blinn J.C./USA,6-10,245.0,15.0,,Forward-Center,Inactive,N,0,,,,,chris_andersen,2001.0,2016.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
33,ANDERDA02,daniel,anderson,G,1974,1975,6.0,2.0,185.0,USC,1951-01-01 00:00:00,1951,76036,Daniel Anderson,"Anderson, Daniel",D. Anderson,daniel-anderson,1951-01-01 00:00:00,Southern California,USA,Southern California/USA,6-2,185.0,2.0,33,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_daniel_anderson,1974.0,1975.0,N,Y,Y,1974,6,92,N
34,ANDERDE01,derek,anderson,G,1997,2004,6.0,5.0,194.0,Kentucky,1974-07-18 00:00:00,1974,1507,Derek Anderson,"Anderson, Derek",D. Anderson,derek-anderson,1974-07-18 00:00:00,Kentucky,USA,Kentucky/USA,6-5,195.0,12.0,1,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,derek_anderson,1997.0,2007.0,N,Y,Y,1997,1,13,N
35,ANDERDW01,dwight,anderson,G,1982,1982,6.0,3.0,185.0,USC,1960-12-28 00:00:00,1960,76037,Dwight Anderson,"Anderson, Dwight",D. Anderson,dwight-anderson,1960-12-28 00:00:00,Southern California,USA,Southern California/USA,6-3,185.0,1.0,20,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,HISTADD_dwight_anderson,1982.0,1982.0,N,Y,Y,1982,2,41,N
36,ANDERER01,eric,anderson,F,1992,1993,6.0,9.0,220.0,Indiana,1970-05-26 00:00:00,1970,944,Eric Anderson,"Anderson, Eric",E. Anderson,eric-anderson,1970-05-26 00:00:00,Indiana,USA,Indiana/USA,6-9,220.0,2.0,42,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,eric_anderson,1992.0,1993.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
37,ANDERJE01,jerome,anderson,G,1975,1976,6.0,5.0,195.0,West Virginia,1953-10-09 00:00:00,1953,76040,Jerome Anderson,"Anderson, Jerome",J. Anderson,jerome-anderson,1953-10-09 00:00:00,West Virginia,USA,West Virginia/USA,6-5,195.0,2.0,21-23,Guard,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,HISTADD_jerome_anderson,1975.0,1976.0,N,Y,Y,1975,3,53,N
38,ANDERKE01,kim,anderson,F,1978,1978,6.0,7.0,200.0,Missouri,1955-05-12 00:00:00,1955,76041,Kim Anderson,"Anderson, Kim",K. Anderson,kim-anderson,1955-05-12 00:00:00,Missouri,USA,Missouri/USA,6-7,200.0,1.0,42,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_kim_anderson,1978.0,1978.0,N,Y,Y,1978,7,146,N
39,ANDERKE02,kenny,anderson,G,1991,2004,6.0,0.0,168.0,Georgia Tech,1970-10-09 00:00:00,1970,72,Kenny Anderson,"Anderson, Kenny",K. Anderson,kenny-anderson,1970-10-09 00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-1,168.0,14.0,,Guard,Inactive,N,0,,,,,kenny_anderson,1991.0,2004.0,N,Y,Y,1991,1,2,N
40,ANDERMI01,mitchell,anderson,F,1982,1984,6.0,8.0,195.0,Bradley,1960-09-23 00:00:00,1960,76043,Mitchell Anderson,"Anderson, Mitchell",M. Anderson,mitchell-anderson,1960-09-23 00:00:00,Bradley,USA,Bradley/USA,6-8,195.0,3.0,11,Forward,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,HISTADD_jj_anderson,1982.0,1984.0,N,Y,Y,1982,2,36,N
41,ANDERMI02,michael,anderson,G,1988,1988,5.0,11.0,184.0,Drexel,1966-03-23 00:00:00,1966,76042,Michael Anderson,"Anderson, Michael",M. Anderson,michael-anderson,1966-03-23 00:00:00,Drexel,USA,Drexel/USA,5-11,184.0,1.0,10,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,HISTADD_michael_anderson,1988.0,1988.0,N,Y,Y,1988,3,73,N
42,ANDERNI01,nick,anderson,G,1989,2001,6.0,6.0,205.0,Illinois,1968-01-20 00:00:00,1968,98,Nick Anderson,"Anderson, Nick",N. Anderson,nick-anderson,1968-01-20 00:00:00,Illinois,USA,Illinois/USA,6-6,228.0,14.0,5,Forward-Guard,Inactive,N,1610612753,Magic,ORL,magic,Orlando,nick_anderson,1989.0,2002.0,N,Y,Y,1989,1,11,N
43,ANDERRI01,richard,anderson,F,1982,1989,6.0,10.0,240.0,Cal. State-Santa Barbara,1960-11-19 00:00:00,1960,76045,Richard Anderson,"Anderson, Richard",R. Anderson,richard-anderson,1960-11-19 00:00:00,California-Santa Barbara,USA,California-Santa Barbara/USA,6-10,240.0,6.0,35,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_richard_anderson,1982.0,1989.0,N,Y,Y,1982,2,32,N
44,ANDERRO01,ron,anderson,F,1984,1993,6.0,7.0,215.0,Fresno State,1958-10-15 00:00:00,1958,76046,Ron Anderson,"Anderson, Ron",R. Anderson,ron-anderson,1958-10-15 00:00:00,Fresno State,USA,Fresno State/USA,6-7,215.0,10.0,35,Forward,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,HISTADD_ron_anderson,1984.0,1993.0,N,Y,Y,1984,2,27,N
45,ANDERSH01,shandon,anderson,G,1996,2004,6.0,6.0,208.0,Georgia,1973-12-31 00:00:00,1973,1000,Shandon Anderson,"Anderson, Shandon",S. Anderson,shandon-anderson,1973-12-31 00:00:00,Georgia,USA,Georgia/USA,6-6,215.0,10.0,49,Guard-Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,shandon_anderson,1996.0,2005.0,N,Y,Y,1996,2,54,N
46,ANDERWI01,willie,anderson,G,1988,1996,6.0,7.0,190.0,Georgia,1967-01-08 00:00:00,1967,335,Willie Anderson,"Anderson, Willie",W. Anderson,willie-anderson,1967-01-08 00:00:00,Georgia,USA,Georgia/USA,6-8,200.0,8.0,35,Guard-Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,willie_anderson,1988.0,1996.0,N,Y,Y,1988,1,10,N
47,ANIELDO01,don,anielak,F,1954,1954,6.0,7.0,190.0,SW Missouri State,1930-11-01 00:00:00,1930,76049,Don Anielak,"Anielak, Don",D. Anielak,don-anielak,1930-11-01 00:00:00,Missouri State,USA,Missouri State/USA,6-7,190.0,1.0,12,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_don_anielak,1954.0,1954.0,N,Y,Y,1954,3,26,N
48,ANSLEMI01,michael,ansley,F,1989,1991,6.0,7.0,225.0,Alabama,1967-02-08 00:00:00,1967,76050,Michael Ansley,"Ansley, Michael",M. Ansley,michael-ansley,1967-02-08 00:00:00,Alabama,USA,Alabama/USA,6-7,225.0,3.0,54,Forward,Inactive,N,1610612753,Magic,ORL,magic,Orlando,HISTADD_michael_ansley,1989.0,1991.0,N,Y,Y,1989,2,37,N
49,ANSTECH01,chris,anstey,C,1997,1999,7.0,0.0,249.0,none,1975-01-01 00:00:00,1975,1512,Chris Anstey,"Anstey, Chris",C. Anstey,chris-anstey,1975-01-01 00:00:00,South East Melbourne,Australia,South East Melbourne/Australia,7-0,249.0,2.0,22,Center,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,chris_anstey,1997.0,1999.0,N,Y,Y,1997,1,18,N
50,ANTHOGR01,greg,anthony,G,1991,2001,6.0,0.0,176.0,UNLV,1967-11-15 00:00:00,1967,21,Greg Anthony,"Anthony, Greg",G. Anthony,greg-anthony,1967-11-15 00:00:00,UNLV,USA,UNLV/USA,6-1,180.0,11.0,50,Guard,Inactive,N,1610612752,Knicks,NYK,knicks,New York,greg_anthony,1991.0,2001.0,N,Y,Y,1991,1,12,N
51,ANTHOCA01,carmelo,anthony,F,2003,2004,6.0,8.0,220.0,Syracuse,1984-05-29 00:00:00,1984,2546,Carmelo Anthony,"Anthony, Carmelo",C. Anthony,carmelo-anthony,1984-05-29 00:00:00,Syracuse,USA,Syracuse/USA,6-7,238.0,20.0,7,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,carmelo_anthony,2003.0,2021.0,N,Y,Y,2003,1,3,Y
52,ARAUJRA01,rafael,araujo,C,2004,2004,6.0,11.0,280.0,BYU,1980-08-12 00:00:00,1980,2737,Rafael Araujo,"Araujo, Rafael",R. Araujo,rafael-araujo,1980-08-12 00:00:00,Brigham Young,Brazil,Brigham Young/Brazil,6-11,270.0,4.0,55,Center,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,rafael_araujo,2004.0,2006.0,N,Y,Y,2004,1,8,N
53,ARCENST01,stacey,arceneaux,F,1961,1961,6.0,4.0,210.0,Iowa State,1936-02-17 00:00:00,1936,76053,Stacey Arceneaux,"Arceneaux, Stacey",S. Arceneaux,stacey-arceneaux,1936-02-17 00:00:00,Iowa State,USA,Iowa State/USA,6-4,210.0,1.0,,Forward,Inactive,N,1610612737,Hawks,STL,hawks,St. Louis,HISTADD_stacey_arceneaux,1961.0,1961.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
54,ARCHINA01,nate,archibald,G,1970,1983,6.0,1.0,150.0,UTEP,1948-09-02 00:00:00,1948,76054,Nate Archibald,"Archibald, Nate",N. Archibald,nate-archibald,1948-09-02 00:00:00,Texas-El Paso,USA,Texas-El Paso/USA,6-1,150.0,13.0,1,Guard,Inactive,N,1610612758,Kings,KCK,kings,Kansas City,HISTADD_nate_archibald,1970.0,1983.0,N,Y,Y,1970,2,19,Y
55,ARCHIRO01,robert,archibald,F,2002,2003,6.0,11.0,250.0,Illinois,1980-03-29 00:00:00,1980,2425,Robert Archibald,"Archibald, Robert",R. Archibald,robert-archibald,1980-03-29 00:00:00,Illinois,Scotland,Illinois/Scotland,6-11,250.0,3.0,34,Forward,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,robert_archibald,2002.0,2003.0,N,Y,Y,2002,2,31,N
56,ARDJI01,jim,ard,C,1970,1977,6.0,8.0,215.0,Cincinnati,1948-09-19 00:00:00,1948,76055,Jim Ard,"Ard, Jim",J. Ard,jim-ard,1948-09-19 00:00:00,Cincinnati,USA,Cincinnati/USA,6-9,215.0,4.0,34,Center,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,HISTADD_jim_ard,1974.0,1977.0,N,Y,Y,1970,1,6,N
57,ARENAGI01,gilbert,arenas,G,2001,2004,6.0,3.0,191.0,Arizona,1982-01-06 00:00:00,1982,2240,Gilbert Arenas,"Arenas, Gilbert",G. Arenas,gilbert-arenas,1982-01-06 00:00:00,Arizona,USA,Arizona/USA,6-4,215.0,12.0,10,Guard,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,gilbert_arenas,2001.0,2011.0,N,Y,Y,2001,2,30,N
58,ARIZATR01,trevor,ariza,F,2004,2004,6.0,8.0,200.0,UCLA,1985-06-30 00:00:00,1985,2772,Trevor Ariza,"Ariza, Trevor",T. Ariza,trevor-ariza,1985-06-30 00:00:00,UCLA,USA,UCLA/USA,6-8,215.0,18.0,,Forward,Inactive,N,0,,,,,trevor_ariza,2004.0,2021.0,N,Y,Y,2004,2,43,N
59,ARIZIPA01,paul,arizin,F,1950,1961,6.0,4.0,190.0,Villanova,1928-04-09 00:00:00,1928,76056,Paul Arizin,"Arizin, Paul",P. Arizin,paul-arizin,1928-04-09 00:00:00,Villanova,USA,Villanova/USA,6-4,190.0,10.0,11,Forward,Inactive,N,1610612744,Warriors,PHW,warriors,Philadelphia,HISTADD_paul_arizin,1950.0,1961.0,N,Y,Y,1950,,,Y
60,ARLAUJO01,joe,arlauckas,F,1987,1987,6.0,9.0,230.0,Niagara,1965-07-20 00:00:00,1965,76057,Joe Arlauckas,"Arlauckas, Joe",J. Arlauckas,joe-arlauckas,1965-07-20 00:00:00,Niagara,USA,Niagara/USA,6-9,230.0,1.0,53,Forward,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,HISTADD_joe_arlauckas,1987.0,1987.0,N,Y,Y,1987,4,74,N
61,ARMSTBJ01,b.j.,armstrong,G,1989,1999,6.0,2.0,175.0,Iowa,1967-09-09 00:00:00,1967,769,B.J. Armstrong,"Armstrong, B.J.",B. Armstrong,bj-armstrong,1967-09-09 00:00:00,Iowa,USA,Iowa/USA,6-2,185.0,11.0,11,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,b.j._armstrong,1989.0,1999.0,N,Y,Y,1989,1,18,N
62,ARMSTBR01,brandon,armstrong,G,2001,2003,6.0,5.0,185.0,Pepperdine,1980-06-16 00:00:00,1980,2220,Brandon Armstrong,"Armstrong, Brandon",B. Armstrong,brandon-armstrong,1980-06-16 00:00:00,Pepperdine,USA,Pepperdine/USA,6-5,185.0,4.0,1,Guard,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,brandon_armstrong,2001.0,2003.0,Y,Y,Y,2001,1,23,N
